"","x"
"645","NEK7"
"646","UVSSA"
"647",""
"648","PYURF"
"649","NUP133"
"650","PATZ1"
"651","KLF16"
"652","DRG1"
"653","CSNK1G2"
"654","CSNK1G2"
"655","LMNB2"
"656","SLC31A1"
"657","ZNF787"
"658","ZNF444"
"659","ADSS2"
"660","TMPO"
"661","TMPO"
"662","C9orf43"
"663","TM9SF4"
"664","NDUFB7"
"665","CLSTN3"
"666","CLSTN3"
"667","SULF2"
"668","PPIA"
"669","PHAF1"
"670","ACVR2B"
"671","H2AZ2"
"672","ZFTA"
"673","SPINDOC"
"674","EXT1"
"675","PABPN1"
"676","KANK1"
"677","FHOD1"
"678","RASSF7"
"679","ATF6B"
"680","CTXN1"
"681","SH3BP5L"
"682","SPPL2B"
"683","CPN2"
"684","NSMCE3"
"685","SPAG5"
"686","BHLHE40"
"687","BHLHE40"
"688","PTGS1"
"689","ARL8B"
"690","EDEM1"
"691","TERF2"
"692","ATRN"
"693","RNF5"
"694","RNF5"
"695","PBX2"
"696","MAGEF1"
"697","AP1AR"
"698","AP1AR"
"699",""
"700","MIR760"
"701","MFSD10"
"702","E2F2"
"703","ID3"
"704","IER3"
"705","LAGE3"
"706","MRPL35"
"707","ATP1A1"
"708","RPS6KA3"
"709","ZNF771"
"710","ZNF768"
"711","RAD21-AS1"
"712",""
"713","ZNF689"
"714","POP7"
"715","KIFC2"
"716","EPHB4"
"717","JUNB"
"718","PRDX2"
"719","RECQL4"
"720","IRF2BPL"
"721",""
"722","ZNF512B"
"723","SRPRA"
"724","SRR"
"725","C8orf82"
"726","PGD"
"727","PGD"
"728","RPN2"
"729","DAGLB"
"730","PLA2G12A"
"731","SLC4A2"
"732","AQP3"
"733","TIMM17B"
"734","VIM"
"735","VIM"
"736","NGRN"
"737","TRAF2"
"738","TLE5"
"739","KPNB1"
"740","ZNF337-AS1"
"741","WDR13"
"742","BMI1"
"743","STXBP3"
"744","TSPAN33"
"745","HNF4A"
"746","CTSD"
"747","PDK1"
"748","RFX1"
"749","DHH"
"750",""
"751","ASF1B"
"752","NMD3"
"753","ARF3"
"754","UBQLN4"
"755","SMG5"
"756","ABCA2"
"757","RRM2B"
"758","FRAS1"
"759","SLC39A13"
"760","HEXIM1"
"761",""
"762","DIRAS1"
"763","ATN1"
"764","RETREG2"
"765","ZNF518A"
"766","TPI1"
"767",""
"768","MYBBP1A"
"769","KCTD5"
"770","ETNK1"
"771","PHLDA1-AS1"
"772","NAP1L1"
"773","FBXO46"
"774","SEMA6B"
"775","TRIM71"
"776","UXS1"
"777",""
"778","MZT2B"
"779","WFS1"
"780","CCN2"
"781","AFF1"
"782","ZKSCAN8"
"783","ZHX1"
"784","RING1"
"785","PRKD2"
"786","RNF40"
"787","SNX8"
"788","RGL2"
"789","HERC2"
"790","AQP1"
"791","TLNRD1"
"792","KIFC1"
"793","KIFC1"
"794","PPM1G"
"795","ZYX"
"796","CNOT1"
"797","REEP6"
"798",""
"799","NUP43"
"800","ST6GAL1"
"801","IMPA1"
"802","PAK2"
"803","PAK2"
"804","GPAT4"
"805","TMED2"
"806","LPCAT4"
"807","SLC16A3"
"808","MRFAP1L1"
"809","ASXL1"
"810","ASXL1"
"811","SGPL1"
"812","RSPRY1"
"813","DDR1"
"814","RPRD1B"
"815",""
"816","EMP2"
"817","ARHGDIA"
"818","RAB22A"
"819","RRP8"
"820","PDLIM1"
"821","ITPRIPL2"
"822","ALYREF"
"823","AGO2"
"824","MED10"
"825","TNK2-AS1"
"826","HELLS"
"827","ZNF609"
"828","JRKL"
"829","MAFG"
"830","MAFG-AS1"
"831","PTPN12"
"832","CARHSP1"
"833","RTF1"
"834","PGAP6"
"835","TRIB3"
"836","NME4"
"837","ZFR"
"838","CKS2"
"839","NPM3"
"840","SEC61B"
"841","CCDC6"
"842","CNTNAP1"
"843","AP1G1"
"844","IPO7"
"845","VPS25"
"846","UFL1"
"847","MBOAT7"
"848","ZNF316"
"849","TRIM56"
"850","PIN4"
"851","HLA-C"
"852","ARHGAP18"
"853","AUNIP"
"854","PRKCB"
"855","TKFC"
"856","MKNK2"
"857","MKNK2"
"858","RBBP6"
"859","HAPSTR1"
"860","HAPSTR1"
"861","RPS8"
"862","MED13L"
"863","DAB2IP"
"864","HMGB3"
"865","NR2F6"
"866","ZNF703"
"867","GOLGA2"
"868","NECTIN2"
"869","FAM98B"
"870","FAM98B"
"871","APOC4-APOC2"
"872","C2orf69"
"873","GANAB"
"874","BAG4"
"875","REPIN1"
"876","ZNF775"
"877","RREB1"
"878","UBALD2"
"879","KLHL23"
"880","SSB"
"881","INTS5"
"882","FZR1"
"883","ARSB"
"884","BICD2"
"885","HNRNPUL2"
"886","ANP32B"
"887","RSRC2"
"888","MIA3"
"889","FKBP8"
"890","ITGA2"
"891","SCARA3"
"892","KXD1"
"893","PSMC3"
"894","CES2"
"895","CES2"
"896","UBA52"
"897",""
"898","PBK"
"899","CPE"
"900","MIA2"
"901","ACVR1B"
"902","BAZ1B"
"903","BAZ1B"
"904","FAT1"
"905","FAT1"
"906","DNASE1"
"907","MXD4"
"908","POLR1G"
"909","POM121C"
"910","GOLPH3"
"911","MCAM"
"912","LTBR"
"913","DENND4B"
"914","ARL5B"
"915","ATP5F1B"
"916","AZIN1"
"917","AATK"
"918",""
"919","NACA"
"920",""
"921","MEX3D"
"922","BAZ1A-AS1"
"923","LAMP2"
"924","TRIM25"
"925","SMS"
"926","MCUR1"
"927","FN3KRP"
"928","TBCD"
"929","ZNF267"
"930","AHSA1"
"931","COPZ1"
"932","ERH"
"933","CREBZF"
"934","NCAPD2"
"935","SEL1L"
"936","GLRX2"
"937","NSUN3"
"938","PLEKHF2"
"939","HECTD1"
"940","BAG6"
"941","CDR2"
"942","CDR2"
"943","RHOB"
"944","PPP1R9B"
"945","KLC1"
"946","LRRC59"
"947","CCDC71L"
"948","MGA"
"949","C15orf39"
"950","CMIP"
"951","CMIP"
"952","CMIP"
"953","ATP6V0D1"
"954","TTYH1"
"955","NEIL1"
"956","PPIL1"
"957","C6orf89"
"958","METTL6"
"959","EAF1"
"960","PIM1"
"961","FOXA1"
"962","FOXA1"
"963","MAP1B"
"964","EMC10"
"965","HMGA2"
"966","FAM171A2"
"967","RPL36"
"968","MIDEAS"
"969","VPS39"
"970","MOB1A"
"971","ABCB10"
"972","KDM6A"
"973","MBTPS1"
"974","FKBP3"
"975","SERINC1"
"976","TMA7"
"977","PFKFB4"
"978","NDUFA11"
"979","DNM1"
"980","PIAS4"
"981","ZBTB7A"
"982","IFIT5"
"983","TSR2"
"984",""
"985","HOOK3"
"986","PUF60"
"987","PELO"
"988","MECP2"
"989","BRIP1"
"990","MAPKAPK2"
"991","LSM11"
"992","EEF2K"
"993","SEMA7A"
"994","ARPC4"
"995","H3-3A"
"996","ACBD3"
"997","TTC33"
"998","BTNL9"
"999","SEMA3G"
"1000","KLF1"
"1001","PHF23"
"1002","UBAC1"
"1003",""
"1004","PTPN23"
"1005","QSOX2"
"1006","NFKBIA"
"1007","KMT2B"
"1008","DHX30"
"1009","SF3B5"
"1010","ASPH"
"1011","POLD1"
"1012","ZNF518B"
"1013","ZNF367"
"1014","RCOR1"
"1015","PLXNA1"
"1016","ATF5"
"1017","B4GALT1"
"1018","DOT1L"
"1019","ZNF777"
"1020","ZFP41"
"1021","FBL"
"1022","NIPAL3"
"1023","ELL2"
"1024","ASH1L"
"1025","LEMD3"
"1026","LEMD3"
"1027","MARCKSL1"
"1028","MYC"
"1029","MYC"
"1030","MAFK"
"1031","UBE2G1"
"1032","PRR12"
"1033","OIP5-AS1"
"1034","ULK1"
"1035","PUS1"
"1036","THAP11"
"1037","EDC4"
"1038","BUB1"
"1039",""
"1040","USF1"
"1041","PDAP1"
"1042","MEPCE"
"1043","TRIM73"
"1044","FBRSL1"
"1045","GALNT12"
"1046","ZFPM1"
"1047","ZC3H18"
"1048","DCP1A"
"1049","DCAF15"
"1050","ERLIN1"
"1051","MVD"
"1052","TMEM248"
"1053","WDR5"
"1054","SCD"
"1055","ZFP36L1"
"1056","ZNF503"
"1057","EVL"
"1058","ZNF503-AS2"
"1059",""
"1060","ITGB5"
"1061","ATP6V1B2"
"1062","THBS1"
"1063","THBS1"
"1064","CDT1"
"1065","NUP153-AS1"
"1066","TRIM28"
"1067","TRIM28"
"1068","ARPC3"
"1069","UBE2M"
"1070","KRT19"
"1071","NDST1"
"1072","MIER1"
"1073","CDON"
"1074","PPTC7"
"1075","CNNM4"
"1076","TRAF3IP2-AS1"
"1077","SEMA4C"
"1078","GRK6"
"1079","TAB2"
"1080","CBX2"
"1081","DHTKD1"
"1082","ELAVL1"
"1083","ELOVL2"
